Article,Link
paper0,https://github.com/kermitt2/grobid
paper0,#b1
paper0,#b3
paper0,#b5
paper0,#b9
paper0,#b18
paper0,#b0
paper0,#b5
paper0,#b16
paper0,#b4
paper0,#b9
paper0,#b15
paper0,#b16
paper0,#b17
paper0,#foot_0
paper0,#foot_1
paper0,#fig_0
paper0,#foot_2
paper0,#b6
paper0,#b6
paper0,#b14
paper0,#foot_3
paper0,#formula_5
paper0,#b13
paper0,#b13
paper0,#fig_1
paper0,#fig_0
paper0,#fig_0
paper0,#formula_5
paper0,#b7
paper0,#formula_8
paper0,#formula_10
paper0,#formula_12
paper0,#foot_4
paper0,#tab_1
paper0,#formula_5
paper0,#formula_19
paper0,#tab_0
paper0,#tab_1
paper0,#tab_1
paper0,#formula_7
paper0,#b2
paper0,#b5
paper0,#tab_1
paper0,#tab_1
paper0,#b3
paper0,#formula_12
paper0,#tab_0
paper0,#tab_0
paper0,#tab_0
paper0,#formula_16
paper0,#b3
paper0,#tab_1
paper0,#b7
paper0,#b6
paper1,https://github.com/kermitt2/grobid
paper1,#b34
paper1,#b82
paper1,#b73
paper1,#b33
paper1,#b31
paper1,#b21
paper1,#b89
paper1,#b75
paper1,#b75
paper1,#b32
paper1,#b66
paper1,#b27
paper1,#b56
paper1,#b75
paper1,#b59
paper1,#b45
paper1,#b35
paper1,#b21
paper1,#fig_0
paper1,#b87
paper1,#b8
paper1,#b61
paper1,#b56
paper1,#b51
paper1,#b49
paper1,#b71
paper1,#b10
paper1,#b76
paper1,#fig_1
paper1,#b50
paper1,#b17
paper1,#b65
paper1,#b8
paper1,#b88
paper1,#b2
paper1,#b8
paper1,#fig_1
paper1,#b85
paper1,#b56
paper1,#b82
paper1,#tab_0
paper1,#b20
paper1,#b76
paper1,#b26
paper1,#b75
paper1,#b36
paper1,#fig_2
paper1,#b72
paper1,#b65
paper1,#b26
paper1,#b11
paper1,#b26
paper1,#b76
paper1,#b65
paper1,#b56
paper1,#b82
paper1,#b82
paper1,#b14
paper1,#b64
paper1,#b65
paper1,#b8
paper1,#b56
paper1,#b76
paper1,#b56
paper1,#b76
paper1,#b65
paper1,#b40
paper1,#b76
paper1,#b90
paper1,#b65
paper1,#b65
paper1,#b40
paper1,#b52
paper1,#b16
paper1,#b65
paper1,#b64
paper1,#b62
paper1,#b19
paper1,#b86
paper1,#b86
paper1,#b76
paper1,#b62
paper1,#b76
paper1,#b62
paper1,#b0
paper1,#b91
paper1,#b76
paper1,#b82
paper1,#b77
paper1,#b6
paper1,#b26
paper1,#b76
paper1,#b84
paper1,#b25
paper1,#b67
paper1,#b6
paper1,#b70
paper1,#b82
paper1,#b82
paper1,#b5
paper1,#b71
paper1,#b54
paper1,#b76
paper1,#b78
paper1,#b76
paper1,#b79
paper1,#b56
paper1,#b1
paper1,#b59
paper1,#b65
paper1,#b76
paper1,#b65
paper1,#b76
paper1,#b37
paper1,#b64
paper1,#b52
paper1,#b65
paper1,#b71
paper1,#b56
paper1,#b82
paper1,#b84
paper1,#b50
paper1,#b64
paper1,#b49
paper1,#b11
paper1,#b65
paper1,#b12
paper1,#b76
paper1,#b7
paper1,#b76
paper1,#b52
paper1,#b76
paper1,#b42
paper1,#b65
paper1,#b8
paper1,#b61
paper1,#b76
paper1,#b26
paper1,#b76
paper1,#b4
paper1,#b19
paper1,#b3
paper1,#b76
paper1,#b46
paper1,#b13
paper1,#b63
paper1,#b69
paper1,#b55
paper1,#b100
paper1,#b57
paper1,#b96
paper1,#b18
paper1,#b41
paper1,#b74
paper1,#b99
paper1,#b8
paper1,#b99
paper1,#b96
paper1,#b58
paper1,#b76
paper1,#b76
paper1,#b82
paper1,#b17
paper1,#b6
paper1,#b52
paper1,#b83
paper1,#b15
paper1,#b43
paper1,#b9
paper1,#b60
paper1,#b38
paper1,#b76
paper1,#b81
paper1,#b44
paper1,#b40
paper1,#b43
paper1,#b76
paper1,#b76
paper1,#b97
paper1,#b65
paper1,#b82
paper1,#b11
paper1,#b53
paper1,#b48
paper1,#b76
paper1,#b98
paper1,#b76
paper1,#b71
paper1,#b76
paper1,#b76
paper1,#b76
paper1,#b80
paper1,#b99
paper1,#b8
paper1,#b89
paper1,#b82
paper1,#b52
paper1,#b8
paper1,#b1
paper1,#b52
paper1,#b56
paper1,#b59
paper1,#b65
paper1,#b64
paper1,#b76
paper1,#b11
paper1,#b49
paper2,https://github.com/kermitt2/grobid
paper2,#b8
paper2,#b60
paper2,#b80
paper2,#b71
paper2,#b34
paper2,#b71
paper2,#b3
paper2,#b11
paper2,#b0
paper2,#b20
paper2,#b88
paper2,#b43
paper2,#b64
paper2,#b23
paper2,#b45
paper2,#b54
paper2,#b80
paper2,#b88
paper2,#b43
paper2,#b45
paper2,#b54
paper2,#b5
paper2,#b7
paper2,#b16
paper2,#b45
paper2,#b43
paper2,#b5
paper2,#b18
